date	_STAT_	BIDLO	ASKHI	PRC	VOL	RET	BID	ASK	OPENPRC	RETX	vwretd	vwretx	ewretd	ewretx
20000726	MEAN	24.636242398	25.603531504	24.448805935	385118.95122	-0.000788752	25.38904937	25.716386555	25.740664746	-0.000809736	-0.011517	-0.011534	-0.004901	-0.004943
20000727	MEAN	24.634019309	25.563643374	24.322789634	317716.02033	-0.006908028	25.180238589	25.488200207	25.396247406	-0.006963573	-0.010219	-0.010307	-0.013479	-0.013644
20000728	MEAN	24.309768821	25.302591504	24.305767276	296577.4187	-0.013005711	24.969541139	25.294171941	25.314973958	-0.013019646	-0.023447	-0.023488	-0.016308	-0.016377
20000731	MEAN	24.36039126	25.487360285	24.567644837	318209.77642	0.0182281504	25.221507353	25.522715336	25.152310924	0.0182168008	0.010434	0.010427	0.0072	0.007184
20000801	MEAN	24.39894565	25.329649431	24.215002561	304469.34959	-0.002597203	24.8953125	25.197135417	25.333794852	-0.002633516	0.000998	0.000993	-0.003004	-0.003029
20000802	MEAN	24.48710622	25.407710894	24.741869959	331579.00407	0.0043096504	24.985677083	25.28671875	25.029958719	0.0042260732	0.000666	0.000578	0.000412	0.000297
20000803	MEAN	24.342670244	25.30417939	24.865472561	289082.79268	-0.001456789	25.044087137	25.335321577	24.954218107	-0.001529472	0.010356	0.010271	-0.001727	-0.001791
20000804	MEAN	24.579649431	25.407329797	24.249618902	265608.54065	0.004707061	25.116596639	25.428702731	25.4092827	0.004707061	0.009212	0.009195	0.008034	0.008015
20000807	MEAN	24.687309512	25.705475122	24.722433943	296807.98374	0.0092312724	25.707229873	26.012976695	25.56935654	0.0092312724	0.012634	0.01262	0.006624	0.006589
20000808	MEAN	24.943534065	25.806338943	25.168635691	290960.38618	0.0038047439	25.549894958	25.860162815	25.517691157	0.0037290732	0.001472	0.001403	0.000135	0.000067
20000809	MEAN	24.993140244	25.823933008	24.779852642	335140.55285	-0.002282569	25.374609375	25.681119792	25.932182269	-0.002461272	-0.004705	-0.004792	1E-6	-0.000087
20000810	MEAN	24.939786585	25.73863061	23.323424797	269386.1626	-0.004283691	25.252443416	25.55632716	25.04634979	-0.004381837	-0.00957	-0.009676	-0.004776	-0.004811
20000811	MEAN	24.961382154	25.891831829	24.790015244	259269.17886	0.0092829431	25.697960251	26.020920502	25.798662627	0.0091984146	0.008347	0.008277	0.006031	0.005864
20000814	MEAN	25.214113333	25.969575732	25.339430894	228455.60163	0.0041569878	25.585485537	25.857308884	25.906184917	0.0041402114	0.012784	0.012749	0.00568	0.005643
20000815	MEAN	25.186801341	25.920795244	25.382367927	263037.08537	-0.007456687	25.485995851	25.781639004	25.80613428	-0.00752572	-0.003869	-0.003875	-0.00137	-0.001392
20000816	MEAN	25.177210366	25.94328	23.160950244	263684.93496	0.0051418333	25.550570539	25.84841805	25.312034638	0.0049434309	-0.001101	-0.001193	0.002051	0.001932
20000817	MEAN	25.175813008	25.948678902	24.864773902	273126.52033	0.002998378	25.663151042	25.958203125	26.106594322	0.0029342033	0.011705	0.011693	0.005211	0.005178
20000818	MEAN	25.202743943	26.053861789	25.102705772	226468.5813	-0.000181707	25.598547718	25.903786307	26.052389706	-0.000217016	-0.002638	-0.002669	0.001257	0.001237
20000821	MEAN	25.239011707	26.01613313	25.489519878	218186.28455	-0.000037695	25.659635417	25.952864583	25.851756198	-0.000037695	0.00366	0.003642	0.002044	0.002013
20000822	MEAN	25.261941057	26.06199187	25.271659106	231958.58943	-0.000494382	25.554493802	25.857567149	25.930989583	-0.00053665	0.000531	0.000529	0.001994	0.001987
20000823	MEAN	25.18191061	26.066628577	25.483803415	283683.99187	-0.001263065	25.571797521	25.866477273	25.73746144	-0.00155085	0.005074	0.005009	0.002532	0.002459
20000824	MEAN	25.301702236	26.100863821	25.40421748	256417.35366	0.0022144553	25.731017562	26.026084711	25.83908195	0.0021046707	0.003482	0.003471	0.00538	0.005335
20000825	MEAN	25.472688008	26.324631626	25.814468984	230318.12602	0.007204126	25.79063786	26.067644033	26.156703859	0.007204126	-0.000093	-0.000103	0.005927	0.005914
20000828	MEAN	25.663379065	26.453379065	25.837299309	237961.14228	-0.001557744	26.166945607	26.470507322	26.23361314	-0.001557744	0.004933	0.004923	0.005067	0.00506
20000829	MEAN	25.642073171	26.579535081	24.153236829	246132.99593	0.0068821016	26.307525826	26.584979339	25.696118697	0.006843313	-0.000542	-0.00061	0.004737	0.004651
20000830	MEAN	25.747083333	26.547548293	25.895955244	262100.62602	-0.000302951	25.996757172	26.29848873	26.385330579	-0.000476041	-0.000817	-0.001034	0.005593	0.00545
20000831	MEAN	25.763338415	26.724855203	26.148971057	285633.91463	0.0053653862	26.097762346	26.369063786	26.234696502	0.0053038171	0.011978	0.011964	0.011368	0.011331
20000901	MEAN	25.881161098	26.724110772	25.714113333	229766.71951	0.0026443455	26.218171488	26.514994835	26.788686975	0.0026433577	0.005047	0.005031	0.007548	0.007523
20000905	MEAN	25.90777439	26.812258659	26.100914675	255661.44715	0.0022569309	26.47553719	26.769783058	26.629966349	0.0022569309	-0.008817	-0.00882	-0.000049	-0.000097
20000906	MEAN	25.935754593	26.81359248	26.080693659	284469.7561	-0.000367049	26.378008299	26.672022822	26.571120868	-0.000372638	-0.012204	-0.012288	-0.001763	-0.001866
